Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ12,4407.206,6.48,7.372320676079504,6.4476719999999865,9.594,2.019,9.335,2.447,2.613,62.745,6.212000000000001,1.192,S1K3,,5.0,3.0
TZ12,4407.446,5.292000000000001,7.061837858412351,5.856824333333348,9.597000000000001,2.316,12.15,2.965,2.653,63.625,8.213,0.34600000000000003,S1K3,,5.0,3.0
TZ12,4407.795999999999,4.629,7.165774436621373,5.218128888888885,9.613,2.214,11.796,2.884,2.648,65.185,9.224,0.281,S1K3,,5.0,3.0
TZ12,4408.196,7.542000000000001,9.43732918279743,8.735249333333353,9.651,2.09,9.458,2.0580000000000003,2.59,68.658,10.134,1.247,S1K3,,5.0,3.0
TZ12,4408.446,10.062000000000001,9.614801029793302,9.906878666666671,9.626,2.181,9.877,2.239,2.597,69.00399999999999,10.274000000000001,1.13,S1K3,,5.0,3.0
TZ12,4408.616,8.505,9.1273649971591,9.410703333333341,9.606,2.347,10.302,2.513,2.589,68.471,9.929,1.097,S1K3,,5.0,3.0
TZ12,4409.54,9.7,7.45437920894456,9.354160666666688,9.749,2.156,10.300999999999998,3.608,2.523,64.67699999999999,11.365,2.306,S1K3,,5.0,1.0
TZ12,4409.637,11.1,7.705724681893526,9.724010444444449,9.606,1.986,9.494,3.361,2.5140000000000002,65.15,10.658,2.505,S1K3,,5.0,1.0
TZ12,4410.127,12.276,10.277068436737215,10.978826,9.677999999999999,1.551,7.999,1.5730000000000002,2.519,69.288,6.305,3.985,S1K3,,5.0,1.0
TZ12,4410.267,11.126,9.464619996878445,10.68691728571429,9.655,1.295,7.164,0.856,2.55,66.278,5.099,3.852,S1K3,,5.0,1.0
TZ12,4410.477,6.017,9.200145380407884,6.739761333333339,9.687000000000001,1.6369999999999998,7.4639999999999995,1.27,2.5610000000000004,64.969,5.742999999999999,4.619,S1K3,,5.0,1.0
TZ12,4411.4929999999995,11.883,10.105178592223865,9.232996666666669,9.685,1.242,6.535,1.3130000000000002,2.539,67.07,7.694,5.645,S1K3,,5.0,3.0
TZ12,4411.747,13.345999999999998,10.586011411490418,12.68926933333336,9.666,1.068,6.131,1.079,2.519,67.808,7.898,8.073,S1K3,,5.0,3.0
TZ12,4411.847,11.626,10.461100495675854,11.300926666666648,9.676,1.068,6.172999999999999,1.074,2.515,67.465,8.459,8.274,S1K3,,5.0,3.0
TZ12,4411.997,12.882,10.667894138735123,12.323276666666642,9.687000000000001,1.054,6.0520000000000005,1.016,2.498,67.749,8.345,10.164,S1K3,,5.0,3.0
TZ12,4412.097,12.36,11.08062269295917,12.190616666666706,9.691,1.048,5.899,0.971,2.487,68.719,8.469,11.091,S1K3,,5.0,3.0
TZ12,4412.197,14.237,11.221789016527211,12.35039133333336,9.705,1.099,5.966,1.023,2.483,68.968,7.813,12.044,S1K3,,5.0,3.0
TZ12,4412.2970000000005,12.097999999999999,11.10604306648978,12.30587133333336,9.719,1.121,5.966,1.042,2.488,68.646,7.752999999999999,11.742,S1K3,,5.0,3.0
TZ12,4412.397,8.805,10.861869563189176,10.024540666666665,9.719,1.147,6.08,1.088,2.509,68.19,7.681,9.088,S1K3,,5.0,3.0
TZ12,4412.7970000000005,9.488999999999999,10.330613529053915,9.927664666666667,9.718,1.0759999999999998,6.795,1.124,2.541,66.693,7.742000000000001,7.497000000000001,S1K3,,5.0,3.0
TZ12,4413.147,8.201,10.427335759670745,8.795212666666673,9.817,1.094,7.362,1.235,2.546,67.193,7.85,6.417000000000001,S1K3,,5.0,3.0
TZ12,4413.347,8.304,10.257592412827623,9.410190666666669,9.843,1.376,8.51,1.9980000000000002,2.5789999999999997,67.35,7.916,3.355,S1K3,,5.0,3.0
TZ12,4413.597,8.597999999999999,9.419031411289938,9.041147031746037,9.877,1.652,9.189,2.678,2.59,66.548,10.238,0.401,S1K3,,5.0,3.0
TZ12,4414.447,7.881,8.755512899129227,8.222902444444454,9.786,1.401,8.81,1.026,2.5989999999999998,64.582,7.809,0.434,S1K3,,4.0,3.0
TZ12,4414.647,6.662000000000001,8.963799139094139,8.587892365079371,9.75,1.599,9.479,1.7790000000000001,2.528,65.499,8.804,0.848,S1K3,,4.0,3.0
TZ12,4414.897,11.770999999999999,8.948591123412065,8.680585022222225,10.027999999999999,1.8359999999999999,7.965,2.035,2.423,66.041,11.662,2.009,S1K3,,4.0,3.0
TZ12,4415.2970000000005,7.874,9.8881066985628,10.11750061904762,9.56,1.141,6.45,1.476,2.557,66.55,8.855,1.0170000000000001,S1K3,,4.0,3.0
TZ12,4415.5470000000005,5.7379999999999995,9.36273440577728,6.4897679999999305,9.464,1.307,6.808,1.6880000000000002,2.6180000000000003,64.943,7.521,0.48,S1K3,,4.0,3.0
TZ12,4415.847,9.52,9.646535503318093,9.22012800000002,9.397,1.004,6.468999999999999,1.317,2.588,65.395,7.877000000000001,0.877,S1K3,,4.0,3.0
TZ12,4415.967000000001,10.205,9.631859899094334,9.567194000000004,9.368,1.075,6.6979999999999995,1.4340000000000002,2.5810000000000004,65.48100000000001,7.311,0.9129999999999999,S1K3,,4.0,3.0
