Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ127,4359.528,9.104,9.490832122689419,9.119757333333347,8.58,2.044,17.476,1.992,2.556,68.24600000000001,14.265999999999998,1.008,S1K3,1.0,6.0,
TZ127,4359.778,12.132,9.630260269510817,10.478730666666666,8.574,1.913,15.280999999999999,2.044,2.553,68.5,13.338,1.249,S1K3,6.0,6.0,
TZ127,4360.068,13.921,10.031542356869048,12.71084577777777,8.578,1.828,13.520999999999999,2.129,2.523,69.303,11.195,1.719,S1K3,6.0,6.0,
TZ127,4360.218,13.212,10.170696155587132,12.829801222222235,8.581,1.798,12.892999999999999,2.184,2.508,69.13,10.982000000000001,2.1180000000000003,S1K3,6.0,6.0,
TZ127,4360.478,12.172,9.99073675432739,12.017465333333343,8.531,1.639,9.857000000000001,2.675,2.516,67.89,10.978,2.839,S1K3,6.0,6.0,
TZ127,4360.598,9.831,9.161102105749181,9.57094333333333,8.49,1.598,8.823,2.7560000000000002,2.541,65.447,10.595999999999998,2.8739999999999997,S1K3,6.0,6.0,
TZ127,4362.462,14.954,11.722172824002119,14.062768000000004,8.517999999999999,2.9189999999999996,12.765,1.764,2.487,70.169,14.21,2.024,S1K3,6.0,6.0,
TZ127,4362.552,10.101,10.827414802685444,10.819849333333327,8.506,2.676,12.110999999999999,1.422,2.502,66.78699999999999,13.681,2.218,S1K3,6.0,6.0,
TZ127,4362.612,8.289,10.210367887433161,9.068329999999998,8.505,2.4859999999999998,11.78,1.252,2.516,64.69800000000001,13.460999999999999,2.246,S1K3,6.0,6.0,
TZ127,4362.682,5.9670000000000005,9.68470817041759,8.602116888888887,8.511000000000001,2.272,11.488,1.121,2.5340000000000003,63.147,13.253,2.4530000000000003,S1K3,6.0,6.0,
TZ127,4362.752,7.26,9.377474634778935,7.776478666666685,8.524,2.101,11.284,1.013,2.555,62.626000000000005,13.001,2.714,S1K3,6.0,6.0,
TZ127,4362.962,7.231,8.9793978241737,7.387898666666664,8.574,1.9469999999999998,11.203,0.858,2.583,63.052,11.922,3.321,S1K3,6.0,6.0,
TZ127,4363.021,7.89,8.939296641748872,8.057709999999997,8.582,1.9769999999999999,11.8,1.026,2.5810000000000004,63.4,11.832,2.904,S1K3,6.0,5.0,
TZ127,4363.102,8.533999999999999,8.889500839175435,8.206813999999987,8.592,2.012,12.706,1.385,2.577,63.908,11.748,1.6159999999999999,S1K3,6.0,5.0,
TZ127,4363.1720000000005,9.92,8.902969726105557,9.378918666666648,8.593,2.032,13.515999999999998,1.847,2.575,64.5,12.044,1.314,S1K3,6.0,5.0,
TZ127,4363.262,8.092,8.928508887075257,8.560572888888924,8.595,2.045,14.472000000000001,2.5340000000000003,2.574,65.29899999999999,12.507,0.978,S1K3,6.0,5.0,
TZ127,4363.332,8.808,9.033562677534775,9.050095511111131,8.595,2.023,14.716,2.926,2.575,66.039,12.922,0.8540000000000001,S1K3,6.0,5.0,
TZ127,4363.452,10.679,9.210862786160803,9.915817333333333,8.597000000000001,2.016,14.814,2.986,2.577,67.045,13.26,0.7559999999999999,S1K3,6.0,5.0,
TZ127,4363.542,11.540999999999999,9.199902063159788,11.064072000000008,8.597999999999999,2.005,15.065999999999999,3.083,2.5789999999999997,67.37100000000001,13.299000000000001,0.6859999999999999,S1K3,6.0,5.0,
TZ127,4363.652,9.331,8.926559588917097,9.144820444444454,8.597000000000001,1.974,16.233,3.4,2.583,67.188,13.206,0.5710000000000001,S1K3,6.0,5.0,
TZ127,4363.762,5.51,8.428887970846304,6.44089286666675,8.583,1.962,18.358,3.85,2.5839999999999996,66.542,13.139000000000001,0.467,S1K3,6.0,5.0,
TZ127,4364.092000000001,8.76,7.542076908091227,6.563619450793674,8.492,2.023,18.964000000000002,4.02,2.569,63.986999999999995,13.209000000000001,0.441,S1K3,6.0,5.0,
TZ127,4364.162,4.613,8.154246204779753,6.237717384127014,8.484,2.045,17.799,3.912,2.5660000000000003,65.455,13.479000000000001,0.526,S1K3,6.0,5.0,
TZ127,4364.302,13.015999999999998,9.405723968278185,11.975134666666658,8.478,2.077,15.958,3.7489999999999997,2.562,68.706,14.040999999999999,0.691,S1K3,6.0,5.0,
TZ127,4364.372,11.1,9.854441569021077,11.447693333333328,8.481,2.079,15.561,3.7110000000000003,2.563,69.973,14.238,0.746,S1K3,6.0,5.0,
